Course,Field,Unit_Count,A_Count,B_Count,C_Count,D_Count,F_Count,GPT_concept_rating,Required,Elective,Financial Analyst,Economic Consultant,Market Research Analyst,Data Analyst,Policy Analyst,Actuary,Real Estate Analyst,Business Analyst,Management Consultant,Operations Research Analyst,Risk Analyst,Investment Banking Analyst,Wealth Management Advisor,Asset Manager,Research Economist ,Prerequisites,Total_Students,Avg_Grade,Avg_Grade_Normalized,Failure_Rate,Failure_Rate_Normalized,Grade_Distribution,Variability_Normalized,Conceptual_Rating_Normalized,Multiplier,Difficulty_Score,Field_Adjusted_Difficulty_Score,Final_Difficulty_Score
ECON 100B - Intermediate Microeconomic Theory,Economics,4,472,804,515,73,27,7,1,0,80,90,85,80,90,75,70,85,90,85,80,85,75,80,90,,1891,2.8572184029613963,0.28569539925965093,0.05288207297726071,0.3381473398827657,326.07775146427883,1.0,0.7,0.9,4.133380877544484,3.720042789790036,8.0
ECON 101 - Intermediate Macroeconomic Theory,Economics,4,580,623,157,29,24,8,1,0,85,90,80,85,90,75,70,85,85,80,80,85,80,85,90,,1413,3.2073602264685066,0.19815994338287335,0.03750884642604388,0.23984529968202706,296.3449004116656,0.908816682772451,0.8,0.9,3.9285787708988993,3.5357208938090094,7.0
ECON 106 - Managerial Economics,Economics,4,586,99,3,0,1,8,0,1,90,85,80,85,85,80,75,90,85,85,85,90,85,85,85,ECON 100B - Intermediate Microeconomic Theory,689,3.841799709724238,0.0395500725689405,0.001451378809869376,0.009280647601136572,254.09781581115567,0.7792552992962832,0.8,0.9,2.926839162557236,2.6341552463015123,5.0
ECON 107A - History of Economics I,Economics,4,358,435,33,1,4,6,0,1,70,85,75,70,85,65,70,75,80,70,65,70,70,70,90,,831,3.37424789410349,0.15643802647412752,0.006016847172081829,0.03847392417077677,212.35748162002676,0.6512479942787207,0.6,0.9,2.6718859249032967,2.404697332412967,5.0
ECON 107B - History of Economics II,Economics,4,243,334,43,3,5,7,0,1,75,90,75,70,90,65,70,75,85,70,70,75,70,75,90,,628,3.285031847133758,0.17874203821656054,0.012738853503184714,0.08145689423163184,152.97973722032603,0.4691511044018121,0.7,0.9,3.0337154553138515,2.730343909782466,6.0
ECON 113B - Twentieth Century US Economic History,Economics,4,301,334,31,7,3,7,0,1,80,90,80,75,90,70,75,80,85,75,75,80,75,80,90,,676,3.3653846153846154,0.15865384615384615,0.014792899408284023,0.09459121593466122,167.16817879010347,0.5126635535218858,0.7,0.9,3.0214757470918037,2.7193281723826233,6.0
ECON 114A - Economic Development,Economics,4,578,121,16,0,3,8,0,1,75,90,80,75,90,70,70,80,85,75,70,75,70,75,90,,718,3.7701949860724233,0.05745125348189417,0.004178272980501393,0.026717407509121584,247.934063815362,0.7603525929076541,0.8,0.9,3.0059648719177527,2.7053683847259777,6.0
ECON 115 - Environmental Economics,Economics,4,132,286,107,11,22,8,0,1,75,90,80,75,90,70,75,80,85,80,75,75,70,75,90,,558,2.8870967741935485,0.2782258064516129,0.05913978494623656,0.37816144176889294,110.68107335945021,0.33943154006192633,0.8,0.9,4.160716072923588,3.744644465631229,8.0
ECON 116A - Industrial Organization,Economics,4,79,112,56,0,2,7,0,1,85,90,85,80,85,70,75,85,90,80,80,85,75,80,85,"ECON 100B - Intermediate Microeconomic Theory,ECON 140A - Intro to Econometrics I",249,3.068273092369478,0.23293172690763053,0.008032128514056224,0.05136037106171163,48.79754092164891,0.14965001660652882,0.7,0.9,2.976340931149579,2.6787068380346213,5.0
ECON 117A - Law and Economics I,Economics,4,72,76,21,1,3,7,0,1,75,85,75,70,90,65,75,80,85,75,70,75,70,75,85,"ECON 100B - Intermediate Microeconomic Theory,ECON 140A - Intro to Econometrics I",173,3.23121387283237,0.19219653179190754,0.023121387283236993,0.14784661727590978,36.827978494617376,0.11294232228122994,0.7,0.9,3.0287539910681573,2.7258785919613415,6.0
ECON 118 - Financial Accounting Analysis and Planning,Economics,4,145,184,157,8,2,8,0,0,95,85,80,85,80,75,80,90,85,85,90,95,90,90,80,ECON 136C - Intermediate Accounting III,496,2.931451612903226,0.2671370967741935,0.020161290322580645,0.1289186733303044,87.17052254059281,0.2673304822213305,0.8,0.9,3.5929138780938548,3.2336224902844695,7.0
ECON 130 - Public Finance,Economics,4,231,157,24,5,1,8,0,1,80,90,75,75,95,70,70,80,85,80,80,85,75,80,90,"ECON 100B - Intermediate Microeconomic Theory,ECON 101 - Intermediate Macroeconomic Theory",418,3.464114832535885,0.13397129186602874,0.014354066985645933,0.09178516072511625,104.48349151899548,0.32042508588765656,0.8,0.9,3.1456967399921467,2.831127065992932,6.0
ECON 132A - Auditing,Economics,4,87,148,65,5,1,8,0,0,85,75,70,80,70,75,70,85,80,85,85,90,85,85,75,ECON 136B - Intermediate Accounting II,306,3.0294117647058822,0.24264705882352944,0.0196078431372549,0.12537972935653136,61.230711248522994,0.18777948195962918,0.8,0.9,3.472590376163466,3.1253313385471193,6.0
ECON 134A - Financial Management,Economics,4,250,270,194,28,17,8,0,1,95,85,75,80,80,85,85,90,85,85,95,95,90,95,80,"ECON 100B - Intermediate Microeconomic Theory,ECON 140A - Intro to Econometrics I",759,2.932806324110672,0.26679841897233203,0.05928853754940711,0.37911262038634974,121.33919399765271,0.37211736603545975,0.8,0.9,4.144679180707426,3.7302112626366832,8.0
ECON 134C - Behavioral Finance,Economics,4,136,104,7,1,2,9,0,1,90,85,80,80,85,75,80,85,85,80,90,90,85,90,85,ECON 134A - Financial Management,250,3.484,0.129,0.012,0.07673239436619719,64.93458246574009,0.19913834100654226,0.9,0.9,3.340033959235665,3.0060305633120987,6.0
ECON 135 - Monetary Economics,Economics,4,168,164,62,16,10,8,0,1,90,90,75,80,90,75,75,85,85,80,85,90,85,85,90,"ECON 100B - Intermediate Microeconomic Theory,ECON 101 - Intermediate Macroeconomic Theory",420,3.104761904761905,0.2238095238095238,0.06190476190476191,0.3958417169684776,77.52418977325722,0.23774755997650407,0.8,0.9,3.981985785353779,3.583787206818401,7.0
ECON 136A - Intermediate Accounting I,Economics,4,140,165,77,7,4,8,0,0,95,85,75,80,75,75,80,90,85,80,90,95,90,90,80,,393,3.094147582697201,0.22646310432569972,0.027989821882951654,0.17897717091352186,74.04255533137683,0.22707024627986017,0.8,0.9,3.550878777944073,3.195790900149666,6.0
ECON 136B - Intermediate Accounting II,Economics,4,109,138,136,48,23,8,0,0,95,85,75,80,75,75,80,90,85,80,90,95,90,90,80,ECON 136A - Intermediate Accounting I,454,2.5770925110132157,0.3557268722466961,0.15638766519823788,1.0,52.51380770806855,0.16104688980542523,0.8,0.9,5.547704061642801,4.992933655478521,10.0
ECON 136C - Intermediate Accounting III,Economics,4,80,101,109,28,5,8,0,0,95,85,70,80,75,75,80,90,85,80,90,95,90,90,80,ECON 136B - Intermediate Accounting II,323,2.6904024767801857,0.32739938080495357,0.1021671826625387,0.6532943792787687,45.894444108192445,0.14074693505490543,0.8,0.9,4.759160368499851,4.283244331649866,9.0
ECON 137A - Managerial Accounting,Economics,4,390,172,19,2,4,8,0,0,90,80,70,75,75,70,75,85,85,75,85,90,85,85,75,,587,3.6047700170357753,0.09880749574105618,0.010221465076660987,0.06535979077188857,168.18977376761052,0.5157965332266325,0.8,0.9,3.085040335380262,2.7765363018422358,6.0
ECON 138A - Income Taxation I,Economics,4,409,115,30,2,3,7,0,0,85,80,70,75,80,75,75,85,80,75,85,90,85,85,75,,559,3.6547406082289804,0.0863148479427549,0.008944543828264758,0.05719468870467888,172.42592612481454,0.5287877671828937,0.7,0.9,2.737727804829069,2.4639550243461623,5.0
ECON 138B - Income Taxation II,Economics,4,323,95,20,0,0,7,0,0,85,80,70,75,80,75,75,85,80,75,85,90,85,85,75,ECON 138A - Income Taxation I,438,3.691780821917808,0.07705479452054798,0.0,0.0,137.28182691092073,0.4210094871374862,0.7,0.9,2.541669127130387,2.2875022144173482,5.0
ECON 139 - Advanced Accounting,Economics,4,132,126,96,4,3,8,0,0,90,85,70,75,75,75,80,85,80,75,85,90,85,85,75,ECON 136B - Intermediate Accounting II,361,3.0526315789473686,0.23684210526315785,0.019390581717451522,0.12399048027778861,64.1809940714539,0.19682727135857594,0.8,0.9,3.456920912024339,3.111228820821905,6.0
ECON 140A - Intro to Econometrics I,Economics,4,516,643,275,55,25,8,1,0,90,90,85,95,90,85,80,90,85,95,85,85,80,85,95,,1514,3.036988110964333,0.2407529722589168,0.052840158520475564,0.33787932349712546,274.10800790929113,0.8406216206974768,0.8,0.9,4.218328374119739,3.7964955367077655,8.0
ECON 140B - Intro to Econometrics II,Economics,4,88,84,20,4,4,9,0,1,90,95,85,95,90,85,80,90,85,95,85,85,80,85,95,ECON 140A - Intro to Econometrics I,200,3.24,0.18999999999999995,0.04,0.25577464788732396,42.5205832509386,0.13040013634783865,0.9,0.9,3.8467493639485673,3.4620744275537105,7.0
ECON 145 - Data Wrangling,Economics,4,452,233,26,6,9,7,0,1,85,85,90,95,85,80,80,90,85,90,80,85,80,85,90,,726,3.5330578512396693,0.11673553719008267,0.02066115702479339,0.13211500407403098,196.19556569912584,0.6016833863030936,0.7,0.9,3.0152783128698566,2.713750481582871,6.0
ECON 150A - Labor Economics,Economics,4,173,193,96,9,3,8,0,1,80,90,80,85,90,75,75,85,85,80,80,80,75,80,90,,474,3.1054852320675104,0.2236286919831224,0.02531645569620253,0.161882688536281,88.80990935700812,0.27235807704818854,0.8,0.9,3.5308304915460234,3.177747442391421,6.0
ECON 152 - Personnel Economics,Economics,4,407,368,64,1,0,8,0,1,80,90,75,85,90,75,75,85,85,80,80,80,75,80,90,ECON 100B - Intermediate Microeconomic Theory,840,3.405952380952381,0.1485119047619048,0.0011904761904761906,0.007612340710932261,202.51543151078636,0.6210648552419606,0.8,0.9,3.1712928233285593,2.8541635409957036,6.0
ECON 156 - Topics in Applied Economics,Economics,4,163,54,9,1,3,8,0,1,85,90,80,85,90,75,75,85,90,85,80,85,80,85,90,"ECON 100B - Intermediate Microeconomic Theory,ECON 140A - Intro to Econometrics I",230,3.621739130434783,0.0945652173913043,0.017391304347826087,0.11120636864666258,68.9129886160802,0.21133913094843418,0.8,0.9,3.0117779549414547,2.7106001594473095,6.0
ECON 170 - Health Economics,Economics,4,139,111,23,0,2,8,0,1,80,90,75,85,90,80,70,80,85,80,75,80,75,80,90,"ECON 100B - Intermediate Microeconomic Theory,ECON 140A - Intro to Econometrics I",275,3.4,0.15000000000000002,0.007272727272727273,0.0465044814340589,65.28782428600297,0.20022164650247573,0.8,0.9,3.043119786119356,2.7388078075074205,6.0
ECON 171 - Game Theory,Economics,4,361,195,76,21,21,9,0,1,85,95,80,85,95,75,70,85,90,85,80,85,75,80,90,ECON 100B - Intermediate Microeconomic Theory,674,3.2670623145400595,0.18323442136498513,0.06231454005934718,0.39846198854850173,145.04206286453595,0.4448082158724804,0.9,0.9,4.269031349128199,3.8421282142153794,8.0
ECON 174 - Negotiations,Economics,4,201,118,0,0,1,7,0,1,85,85,75,80,85,70,70,85,90,80,75,85,80,80,85,"ECON 100B - Intermediate Microeconomic Theory,ECON 140A - Intro to Econometrics I",320,3.61875,0.09531250000000002,0.003125,0.019982394366197184,91.98641204003991,0.2820996269355005,0.7,0.9,2.5669521022001445,2.31025689198013,5.0
ECON 176 - Experimental Economics,Economics,4,175,135,2,0,0,7,0,1,80,85,80,85,85,75,70,80,85,80,75,80,75,80,90,"ECON 100B - Intermediate Microeconomic Theory,ECON 140A - Intro to Econometrics I",312,3.5544871794871793,0.11137820512820518,0.0,0.0,85.7105594428131,0.2628531356644936,0.7,0.9,2.5655611832168623,2.3090050648951763,5.0
ECON 180 - International Trade,Economics,4,135,214,135,11,3,8,0,1,85,95,80,80,90,75,75,85,85,80,80,85,80,85,90,"ECON 100B - Intermediate Microeconomic Theory,ECON 101 - Intermediate Macroeconomic Theory",498,2.9377510040160644,0.2655622489959839,0.028112449799196786,0.17976129871599072,90.51961113482535,0.27760131051057496,0.8,0.9,3.6950099996752206,3.3255089997076985,7.0
ECON 181 - International Finance,Economics,4,185,204,103,5,1,8,0,1,90,95,80,85,90,75,75,85,85,80,85,95,85,90,90,"ECON 100B - Intermediate Microeconomic Theory,ECON 101 - Intermediate Macroeconomic Theory",498,3.13855421686747,0.21536144578313254,0.012048192771084338,0.07704055659256746,96.0145822258265,0.2944530308942121,0.8,0.9,3.3473919659816387,3.012652769383475,6.0
ECON 183 - Entrepreneurial Insights,Economics,4,23,1,0,0,0,7,0,1,80,80,75,75,80,70,70,85,85,75,75,80,80,80,75,ECON 100B - Intermediate Microeconomic Theory,24,3.9583333333333335,0.01041666666666663,0.0,0.0,10.183319694480774,0.031229728642177344,0.7,0.9,2.1468648643210884,1.9321783778889796,4.0
ECON 185 - Accounting Information Systems,Economics,4,84,210,114,24,20,8,0,0,85,80,75,85,75,75,75,85,80,85,80,85,80,85,75,,452,2.6946902654867255,0.3263274336283186,0.09734513274336283,0.622460426274461,77.88966555326836,0.2388683840081037,0.8,0.9,4.743337345437929,4.269003610894137,9.0
ECON 187 - Topics in Personnel Economics,Economics,4,167,6,0,0,4,8,0,1,80,90,75,80,85,70,75,85,90,80,75,80,75,80,85,ECON 100B - Intermediate Microeconomic Theory,177,3.8757062146892656,0.031073446327683607,0.022598870056497175,0.14450545078379884,73.61249893869926,0.225751369445282,0.8,0.9,2.8951069252732897,2.605596232745961,5.0
