Course,EE_capstone,CE_capstone,CS_capstone
CS 111 - Intro to Computational Science,0,0,0
CS 130A - Data Structures and Algorithms I,0,0,0
CS 130B - Data Structures and Algorithms II,0,0,0
CS 134 - Randomized Algorithms,0,0,0
CS 138 - Automata and Formal Languages,0,0,0
CS 140 - Parallel Computing,0,0,0
CS 148 - Computer Science Project,0,0,0
CS 154 - Computer Architecture,0,0,0
CS 156 - Advanced Applications Programming,0,0,0
CS 160 - Translation of Programming Languages,0,0,0
CS 162 - Programming Languages,0,0,0
CS 165A - Artificial Intelligence,0,0,0
CS 165B - Machine Learning,0,0,0
CS 170 - Operating Systems,0,0,0
CS 171 - Distributed Systems,0,0,0
CS 174A - Fundamentals of Database Systems,0,0,0
CS 174B - Implementation Techniques of Databases,0,0,0
CS 176A - Intro to Computer Communication Networks,0,0,0
CS 176B - Network Computing,0,0,0
CS 176C - Advanced Topics in Internet Computing,0,0,0
CS 177 - Computer Security,0,0,0
CS 178 - Intro to Cryptography,0,0,0
CS 180 - Computer Graphics,0,0,0
CS 181 - Intro to Computer Vision,0,0,0
CS 184 - Mobile Application Development,0,0,0
CS 185 - Human Computer Interaction,0,0,0
CS 189A - CS Capstone,0,1,1
CS 189B - CS Capstone,0,1,1
ECE 130A - Signal Analysis and Processing I,0,0,0
ECE 130B - Signal Analysis and Processing II,0,0,0
ECE 130C - Applied Linear Algebra,0,0,0
ECE 152A - Digital Design Princples,0,0,0
ECE 153B - Sensor and Peripheral Interface Design,0,0,0
ECE 178 - Intro to Digital Image and Video Processing,0,0,0
MATH 108A - Linear Algebra I,0,0,0
MATH 108B - Linear Algebra II,0,0,0
MATH 119A - Ordinary Differential Equations,0,0,0
MATH 119B - Chaotic Dynamics and Bifurcation Theory,0,0,0
MATH 124A - Partial Differential Equations,0,0,0
MATH 124B - Fourier Series and Numerical Methods,0,0,0
PSTAT 120B - Probability and Statistics II,0,0,0
PSTAT 122 - Design and Analysis of Experiments,0,0,0
PSTAT 130 - SAS Base Programming,0,0,0
PSTAT 160A - Applied Stochastic Processes I,0,0,0
PSTAT 160B - Applied Stochastic Processes II,0,0,0
