Course,Field,Unit_Count,A_Count,B_Count,C_Count,D_Count,F_Count,GPT_concept_rating,Required,Elective
CS 111 - Intro to Computational Science,CS,4,323,92,37,4,8,8,0,1
CS 130A - Data Structures and Algorithms I,CS,4,387,174,55,5,10,8,1,0
CS 130B - Data Structures and Algorithms II,CS,4,304,195,41,3,7,9,1,0
CS 134 - Randomized Algorithms,CS,4,304,195,41,3,7,9,0,1
CS 138 - Automata and Formal Languages,CS,4,452,157,52,16,5,8,0,1
CS 140 - Parallel Computing,CS,4,84,95,30,9,1,9,0,1
CS 148 - Computer Science Project,CS,4,273,9,2,0,1,8,0,1
CS 154 - Computer Architecture,CS,4,367,183,29,4,8,7,0,1
CS 156 - Advanced Applications Programming,CS,4,426,10,1,0,1,8,1,1
CS 160 - Translation of Programming Languages,CS,4,270,83,26,15,28,9,0,1
CS 162 - Programming Languages,CS,4,268,91,24,0,10,8,0,1
CS 165A - Artificial Intelligence,CS,4,287,97,14,0,7,8,0,1
CS 165B - Machine Learning,CS,4,268,97,21,2,4,8,0,1
CS 170 - Operating Systems,CS,4,209,165,82,5,10,7,0,1
CS 171 - Distributed Systems,CS,4,276,120,53,15,8,9,0,1
CS 174A - Fundamentals of Database Systems,CS,4,207,97,24,6,13,8,0,1
CS 174B - Implementation Techniques of Databases,CS,4,104,68,14,1,3,9,0,1
CS 176A - Intro to Computer Communication Networks,CS,4,321,142,53,16,4,7,0,1
CS 176B - Network Computing,CS,4,185,75,7,2,3,8,0,1
CS 176C - Advanced Topics in Internet Computing,CS,4,116,33,6,3,3,8,0,1
CS 177 - Computer Security,CS,4,182,125,38,13,6,7,0,1
CS 178 - Intro to Cryptography,CS,4,94,80,30,1,6,9,0,1
CS 180 - Computer Graphics,CS,4,146,127,16,3,5,8,0,1
CS 181 - Intro to Computer Vision,CS,4,136,87,21,2,3,9,0,1
CS 184 - Mobile Application Development,CS,4,257,68,13,0,7,7,0,1
CS 185 - Human Computer Interaction,CS,4,338,90,13,2,0,7,0,1
CS 189A - CS Capstone,CS,4,283,11,1,0,1,8,0,0
CS 189B - CS Capstone,CS,4,293,5,0,0,0,8,0,0
ECE 130A - Signal Analysis and Processing I,Engineering,4,111,141,76,25,20,7,0,1
ECE 130B - Signal Analysis and Processing II,Engineering,4,109,118,42,5,7,8,0,1
ECE 130C - Applied Linear Algebra,Engineering,4,53,32,22,8,5,6,0,1
ECE 152A - Digital Design Princples,Engineering,5,153,171,91,8,10,8,0,1
ECE 153B - Sensor and Peripheral Interface Design,Engineering,4,175,110,36,3,0,9,0,1
ECE 178 - Intro to Digital Image and Video Processing,Engineering,4,107,101,37,14,8,8,0,1
MATH 108A - Linear Algebra I,Math,4,114,72,45,19,22,7,0,1
MATH 108B - Linear Algebra II,Math,4,106,62,53,13,21,9,0,1
MATH 119A - Ordinary Differential Equations,Math,4,175,110,59,7,18,8,0,1
MATH 119B - Chaotic Dynamics and Bifurcation Theory,Math,4,107,22,6,1,2,9,0,1
MATH 124A - Partial Differential Equations,Math,4,184,40,20,4,7,8,0,1
MATH 124B - Fourier Series and Numerical Methods,Math,4,88,29,17,2,3,7,0,1
PSTAT 120B - Probability and Statistics II,Statistics,4,417,320,171,22,21,7,0,1
PSTAT 122 - Design and Analysis of Experiments,Statistics,4,324,235,93,24,23,7,0,1
PSTAT 130 - SAS Base Programming,Statistics,4,192,223,120,11,5,5,0,1
PSTAT 160A - Applied Stochastic Processes I,Statistics,4,244,250,63,11,12,8,0,1
PSTAT 160B - Applied Stochastic Processes II,Statistics,4,215,119,35,11,10,9,0,1
