Course,Offered_Fall,Offered_Winter,Offered_Spring
CS 111 - Intro to Computational Science,1,0,1
CS 130A - Data Structures and Algorithms I,1,1,1
CS 130B - Data Structures and Algorithms II,1,1,1
CS 134 - Randomized Algorithms,0,0,1
CS 138 - Automata and Formal Languages,1,0,1
CS 140 - Parallel Computing,0,1,0
CS 148 - Computer Science Project,0,1,0
CS 154 - Computer Architecture,0,1,1
CS 156 - Advanced Applications Programming,1,0,1
CS 160 - Translation of Programming Languages,1,0,1
CS 162 - Programming Languages,0,1,0
CS 165A - Artificial Intelligence,1,0,1
CS 165B - Machine Learning,0,0,1
CS 170 - Operating Systems,0,1,1
CS 171 - Distributed Systems,1,0,0
CS 174A - Fundamentals of Database Systems,0,0,1
CS 174B - Implementation Techniques of Databases,0,0,1
CS 176A - Intro to Computer Communication Networks,0,1,0
CS 176B - Network Computing,0,0,1
CS 176C - Advanced Topics in Internet Computing,0,0,1
CS 177 - Computer Security,1,0,1
CS 178 - Intro to Cryptography,0,1,0
CS 180 - Computer Graphics,1,0,0
CS 181 - Intro to Computer Vision,1,1,0
CS 184 - Mobile Application Development,1,0,0
CS 185 - Human Computer Interaction,0,1,0
CS 189A - CS Capstone,1,0,0
CS 189B - CS Capstone,0,1,0
ECE 130A - Signal Analysis and Processing I,1,1,0
ECE 130B - Signal Analysis and Processing II,0,1,1
ECE 130C - Applied Linear Algebra,0,0,1
ECE 152A - Digital Design Princples,0,1,1
ECE 153B - Sensor and Peripheral Interface Design,1,0,1
ECE 178 - Intro to Digital Image and Video Processing,1,0,0
MATH 108A - Linear Algebra I,1,1,1
MATH 108B - Linear Algebra II,1,1,1
MATH 119A - Ordinary Differential Equations,1,0,0
MATH 119B - Chaotic Dynamics and Bifurcation Theory,0,1,0
MATH 124A - Partial Differential Equations,0,1,0
MATH 124B - Fourier Series and Numerical Methods,0,0,1
PSTAT 120B - Probability and Statistics II,1,1,1
PSTAT 122 - Design and Analysis of Experiments,1,1,1
PSTAT 130 - SAS Base Programming,1,1,1
PSTAT 160A - Applied Stochastic Processes I,1,1,1
PSTAT 160B - Applied Stochastic Processes II,1,1,1
