Course,Offered_Fall,Offered_Winter,Offered_Spring
ECON 100B - Intermediate Microeconomic Theory,1,1,1
ECON 101 - Intermediate Macroeconomic Theory,1,1,1
ECON 106 - Managerial Economics,1,1,1
ECON 107A - History of Economics I,1,0,0
ECON 107B - History of Economics II,0,0,1
ECON 113B - Twentieth Century US Economic History,0,1,0
ECON 114A - Economic Development,1,1,1
ECON 115 - Environmental Economics,0,1,0
ECON 116A - Industrial Organization,1,1,0
ECON 117A - Law and Economics I,0,1,0
ECON 118 - Financial Accounting Analysis and Planning,1,1,1
ECON 130 - Public Finance,1,1,1
ECON 132A - Auditing,1,1,1
ECON 134A - Financial Management,1,1,1
ECON 134C - Behavioral Finance,0,1,0
ECON 135 - Monetary Economics,1,0,1
ECON 136A - Intermediate Accounting I,1,1,1
ECON 136B - Intermediate Accounting II,1,1,1
ECON 136C - Intermediate Accounting III,1,1,1
ECON 137A - Managerial Accounting,1,1,1
ECON 138A - Income Taxation I,1,1,1
ECON 138B - Income Taxation II,0,0,1
ECON 139 - Advanced Accounting,0,1,1
ECON 140A - Intro to Econometrics I,1,1,1
ECON 140B - Intro to Econometrics II,1,1,0
ECON 145 - Data Wrangling,1,0,0
ECON 150A - Labor Economics,0,0,1
ECON 152 - Personnel Economics,0,1,0
ECON 156 - Topics in Applied Economics,0,0,1
ECON 170 - Health Economics,0,1,0
ECON 171 - Game Theory,1,0,1
ECON 174 - Negotiations,0,1,0
ECON 176 - Experimental Economics,0,1,0
ECON 180 - International Trade,1,0,0
ECON 181 - International Finance,0,1,0
ECON 183 - Entrepreneurial Insights,0,1,0
ECON 185 - Accounting Information Systems,0,1,1
ECON 187 - Topics in Personnel Economics,0,0,1
ECON 189 - Business Law and Ethics in Accounting,1,1,0
