Course,EE_capstone,CE_capstone,CS_capstone
ECE 120A - IC Circuit Design + Fabrication I,0,0,0
ECE 120B - IC Circuit Design + Fabrication II,0,0,0
ECE 122A - VLSI Principles I,0,0,0
ECE 122B - VLSI Principles II,0,0,0
ECE 130A - Signal Analysis and Processing I,0,0,0
ECE 130B - Signal Analysis and Processing II,0,0,0
ECE 130C - Applied Linear Algebra,0,0,0
ECE 132 - Intro to Solid-State Electronic Devices,0,0,0
ECE 133 - Intro to Optimization and Learning,0,0,0
ECE 134 - Intro to Fields and Waves,0,0,0
ECE 135 - Optical Fiber Communication,0,0,0
ECE 136A - Intro to Optics and Photonics,0,0,0
ECE 136B - Optics and Imaging,0,0,0
ECE 136C - Quantum Photonics,0,0,0
ECE 137A - Circuits and Electronics I,0,0,0
ECE 137B - Circuits and Electronics II,0,0,0
ECE 139 - Probability and Statistics,0,0,0
ECE 142 - Intro to Power Electronics,0,0,0
ECE 144 - Electromagnetic Fields and Waves,0,0,0
ECE 145A - Communication Electronics I,0,0,0
ECE 145B - Communication Electronics II,0,0,0
ECE 146A - Digital Communication Fundamentals,0,0,0
ECE 146B - Communication Systems Design,0,0,0
ECE 147A - Feedback Control Systems - Theory and Design,0,0,0
ECE 147B - Digital Control Systems - Theory and Design,0,0,0
ECE 147C - Control Systems Design Project,0,0,0
ECE 148 - Applications of Signal Analysis and Processing,0,0,0
ECE 149 - Game Theory for Networked Systems,0,0,0
ECE 152A - Digital Design Principles,0,0,0
ECE 153A - Hardware/Software Interface,0,0,0
ECE 153B - Sensor and Peripheral Interface Design,0,0,0
ECE 154A - Intro to Computer Architecture,0,0,0
ECE 154B - Advanced Computer Architecture,0,0,0
ECE 157A - Machine Learning in Design and Test Automation,0,0,0
ECE 157B - Artificial Intelligence in Design and Test Automation,0,0,0
ECE 158 - Digital Signal Processing,0,0,0
ECE 162A - Quantum Description of Electronic Metals,0,0,0
ECE 162B - Fundamentals of Solid State,0,0,0
ECE 178 - Intro to Digital Image and Video Processing,0,0,0
ECE 179D - Intro to Robotics - Dynamics and Control,0,0,0
ECE 179P - Intro to Robotics - Planning and Kinematics,0,0,0
ECE 180 - Intro to Deep Learning,0,0,0
ECE 181 - Intro to Computer Vision,0,0,0
ECE 183 - Nonlinear Phenomena,0,0,0
ECE 184 - Intro to Game Development,0,0,0
ECE 186 - Probabilistic Machine Learning,0,0,0
ECE 188A - Senior EE Capstone,1,0,0
ECE 188B - Senior EE Capstone,1,0,0
ECE 188C - Senior EE Capstone,1,0,0
MATRL 100A - Structure and Properties I,0,0,0
MATRL 100B - Structure and Properties II,0,0,0
MATRL 100C - Fundamentals of Structural Evolution,0,0,0
