Course,Field,Unit_Count,A_Count,B_Count,C_Count,D_Count,F_Count,GPT_concept_rating,Total_Students,Avg_Grade,Avg_Grade_Normalized,Failure_Rate,Failure_Rate_Normalized,Grade_Distribution,Variability_Normalized,Conceptual_Rating_Normalized,Multiplier,Difficulty_Score,Field_Adjusted_Difficulty_Score,Final_Score
ECE 120A - IC Circuit Design + Fabrication,Engineering,4,145,67,5,0,0,8.0,217,3.6451612903225805,0.08870967741935487,0.0,0.0,63.48464381250004,0.3228015117119409,0.8,1.1,3.183174949404357,3.5014924443447932,4.05
ECE 120B IC Circuit Design + Fabrication,Engineering,4,109,36,4,0,1,10.0,150,3.68,0.07999999999999996,0.006666666666666667,0.03333333333333333,46.62081080376016,0.23705367630537108,1.0,1.1,3.8851935048193518,4.273712855301287,6.52
ECE 122A - VLSI Principles,Engineering,4,35,46,2,0,6,7.0,89,3.168539325842697,0.2078651685393258,0.06741573033707865,0.33707865168539325,21.194338866782328,0.1077672365326461,0.7,1.1,3.6977038429854234,4.067474227283966,5.86
ECE 122B - VLSI Principles,Engineering,4,20,14,2,1,2,8.0,39,3.2564102564102564,0.1858974358974359,0.07692307692307693,0.38461538461538464,8.67179335547152,0.044093623848112364,0.8,1.1,4.056021170898415,4.461623287988257,7.12
ECE 130A Signal Analysis and Processing,Engineering,4,111,141,76,25,20,7.0,373,2.798927613941019,0.3002680965147453,0.12064343163538874,0.6032171581769437,52.86113884509111,0.26878398468151127,0.7,1.1,4.541496549981506,4.995646204979657,8.83
ECE 130B Signal Analysis and Processing,Engineering,4,109,118,42,5,7,8.0,281,3.1281138790035588,0.2179715302491103,0.042704626334519574,0.21352313167259787,54.430689872534224,0.2767647090573785,0.8,1.1,3.91035744349666,4.301393187846326,6.61
ECE 130C Applied Linear Algebra,Engineering,4,53,32,22,8,5,6.0,120,3.0,0.25,0.10833333333333334,0.5416666666666666,19.53202498462461,0.09931483919881083,0.6,1.1,3.8579907529327384,4.243789828226013,6.42
ECE 132 - Intro to Solid-State Electronic Devices,Engineering,4,115,204,83,13,7,8.0,422,2.9644549763033177,0.2588862559241706,0.04739336492890995,0.23696682464454974,81.13445630556724,0.4125458311574661,0.8,1.1,4.1274222046782585,4.540164425146084,7.37
ECE 133 - Intro to Optimization and Learning,Engineering,4,8,4,0,0,0,6.0,12,3.6666666666666665,0.08333333333333337,0.0,0.0,3.577708763999663,0.018191640184594602,0.6,1.1,2.3174291534256306,2.549172068768194,1.0
ECE 134 - Intro to Fields and Waves,Engineering,4,175,134,51,27,14,6.0,401,3.0698254364089776,0.2325436408977556,0.10224438902743142,0.5112219451371571,70.61657029338086,0.3590653467307876,0.6,1.1,3.883335665884097,4.271669232472507,6.51
ECE 135 - Optical Fiber Communication,Engineering,4,37,25,5,4,0,7.0,71,3.3380281690140845,0.16549295774647887,0.056338028169014086,0.28169014084507044,16.02186006679624,0.08146664042526561,0.7,1.1,3.4678459962689705,3.814630595895868,5.05
ECE 136A - Intro to Optics and Photonics,Engineering,4,12,0,0,0,0,8.0,12,4.0,0.0,0.0,0.0,5.366563145999495,0.027287460276891905,0.8,1.1,2.813643730138446,3.0950081031522907,2.75
ECE 136B - Optics and Imaging,Engineering,4,19,8,5,0,0,9.0,32,3.4375,0.140625,0.0,0.0,7.829431652425353,0.03981045212622885,0.9,1.1,3.5214677260631144,3.873614498669426,5.24
