Course,Field,Unit_Count,A_Count,B_Count,C_Count,D_Count,F_Count,GPT_concept_rating,CE_required,CE_Elective,Software Engineer,Embedded Systems Engineer,Hardware Engineer,Machine Learning Engineer,FPGA Engineer,Robotics Engineer,Network Engineer,Cybersecurity Engineer,VLSI Design Engineer,Electrical Engineer,Data Engineer,AI Research Scientist,Cloud Architect,DevOps Engineer,ASIC Design Engineer,Total_Students,Avg_Grade,Avg_Grade_Normalized,Failure_Rate,Failure_Rate_Normalized,Grade_Distribution,Variability_Normalized,Conceptual_Rating_Normalized,Multiplier,Difficulty_Score,Field_Adjusted_Difficulty_Score,Final_Difficulty_Score
ECE 120A - IC Circuit Design + Fabrication I,Engineering,4,145,67,5,0,0,8,0,0,20,60,100,20,60,40,20,20,100,80,20,20,20,20,100,217,3.6451612903225805,0.08870967741935487,0.0,0.0,63.48464381250004,0.3228015117119409,0.8,1.1,3.183174949404357,3.5014924443447932,3.47
ECE 120B - IC Circuit Design + Fabrication II,Engineering,4,109,36,4,0,1,10,0,0,20,60,100,20,80,40,20,20,100,80,20,20,20,20,100,150,3.68,0.07999999999999996,0.006666666666666667,0.052820512820512824,46.62081080376016,0.23705367630537108,1.0,1.1,3.924167863793711,4.316584650173082,5.59
ECE 122A - VLSI Principles I,Engineering,4,35,46,2,0,6,7,0,1,40,80,100,20,100,40,20,20,100,80,20,20,20,20,100,89,3.168539325842697,0.2078651685393258,0.06741573033707865,0.5341400172860847,21.194338866782328,0.1077672365326461,0.7,1.1,4.091826574186807,4.5010092316054875,6.07
ECE 122B - VLSI Principles II,Engineering,4,20,14,2,1,2,8,0,1,20,80,100,20,100,40,20,20,100,80,20,20,20,20,100,39,3.2564102564102564,0.1858974358974359,0.07692307692307693,0.6094674556213018,8.67179335547152,0.044093623848112364,0.8,1.1,4.505725312910249,4.956297844201274,7.25
ECE 130A - Signal Analysis and Processing I,Engineering,4,111,141,76,25,20,7,0,1,40,60,60,40,60,60,60,40,40,80,40,40,40,40,60,373,2.798927613941019,0.3002680965147453,0.12064343163538874,0.9558671891111569,52.86113884509111,0.26878398468151127,0.7,1.1,5.246796611849932,5.771476273034926,9.36
ECE 130B - Signal Analysis and Processing II,Engineering,4,109,118,42,5,7,8,0,1,40,60,60,60,60,60,60,40,40,80,60,60,40,40,60,281,3.1281138790035588,0.2179715302491103,0.042704626334519574,0.3383520394196551,54.430689872534224,0.2767647090573785,0.8,1.1,4.160015258990775,4.576016784889853,6.26
ECE 130C - Applied Linear Algebra,Engineering,4,53,32,22,8,5,6,0,1,60,60,60,80,60,60,40,40,60,60,80,80,40,40,60,120,3.0,0.25,0.10833333333333334,0.8583333333333334,19.53202498462461,0.09931483919881083,0.6,1.1,4.491324086266072,4.94045649489268,7.21
ECE 132 - Intro to Solid-State Electronic Devices,Engineering,4,115,204,83,13,7,8,0,0,20,80,100,20,80,40,20,20,100,100,20,20,20,20,100,422,2.9644549763033177,0.2588862559241706,0.04739336492890995,0.3755012759752096,81.13445630556724,0.4125458311574661,0.8,1.1,4.404491107339579,4.844940218073537,6.96
ECE 133 - Intro to Optimization and Learning,Engineering,4,8,4,0,0,0,6,0,1,60,60,60,100,60,80,40,40,60,60,80,100,40,60,60,12,3.6666666666666665,0.08333333333333337,0.0,0.0,3.577708763999663,0.018191640184594602,0.6,1.1,2.3174291534256306,2.549172068768194,1.0
ECE 134 - Intro to Fields and Waves,Engineering,4,175,134,51,27,14,6,0,0,20,80,100,20,80,60,60,40,80,100,20,20,40,40,80,401,3.0698254364089776,0.2325436408977556,0.10224438902743142,0.8100901592173413,70.61657029338086,0.3590653467307876,0.6,1.1,4.481072094044466,4.929179303448913,7.18
